code,libelle
2349ZZ,Fabrication d'autres produits céramiques
1062ZZ,Fabrication de produits amylacés
1071AA,Fabrication industrielle de pain
2365ZZ,Fabrication d'ouvrages en fibre-ciment
1071CB,Boulangerie-pâtisserie
2391ZZ,Fabrication de produits abrasifs
1071DZ,Pâtisserie
2399ZZ,Fabrication d'autres produits minéraux non métalliques n.c.a.
1072ZZ,"Fabrication de biscuits, biscottes et pâtisseries de conservation"
2431ZZ,Etirage à froid de barres
1082ZZ,"Fabrication de cacao, chocolat et de produits de confiserie"
1085ZZ,Fabrication de plats préparés
2441ZZ,Production de métaux précieux
1091ZZ,Fabrication d'aliments pour animaux de ferme
2443ZZ,"Métallurgie du plomb, du zinc ou de l'étain"
1092ZZ,Fabrication d'aliments pour animaux de compagnie
2445ZZ,Métallurgie des autres métaux non ferreux
1101ZQ,Production d'eaux de vie naturelles
2453ZZ,Fonderie de métaux légers
1310ZC,Préparation et filature d'autres fibres
2521ZZ,Fabrication de radiateurs et de chaudières pour le chauffage central
1320ZA,Tissage de l'industrie cotonnière
2530ZB,Chaudronnerie nucléaire
1320ZD,Tissage d'autres textiles
2540ZZ,Fabrication d'armes et de munitions
1392ZC,Fabrication de coussins et petits articles textiles divers
2550AZ,"Forge, estampage, matriçage, métallurgie des poudres"
1392ZD,Voilerie
1711ZZ,Fabrication de pâte à papier
2561ZB,Traitement et revêtement des métaux
1392ZE,Fabrication d'articles de campement en textile
2562AZ,Décolletage
1394ZZ,"Fabrication de ficelles, cordes et filets"
2573AZ,Fabrication de moules et modèles ferrures
1395ZZ,"Fabrication de non-tissés, sauf habillement"
2593ZA,Fabrication d'articles en fils métalliques et de chaînes
1411ZZ,Fabrication de vêtements en cuir
2599AA,Dinanderie
1412ZZ,Fabrication de vêtements de travail
2599AB,Autres fabrications d'articles de ménage
1413ZD,Chemiserie sur mesure
2599BA,Fabrication de petits articles métalliques
1413ZE,"Fabrication de gaines, corsets et autres vêtements sur mesure"
2630ZZ,Fabrication d'équipements de communication
1414ZZ,Confection de vêtements de dessous
2651AZ,Fabrication d'équipements d'aide à la navigation
1419ZB,Fabrication de chapellerie
2660ZZ,"Fabrication d'équipements d'irradiation médicale, d'équipements électromédicaux et électrothérapeutiques"
1419ZE,Fabrication d'autres vêtements et accessoires
2670ZA,Fabrication de matériels photographiques et cinématographiques
1512ZB,Gainerie
2680ZZ,Fabrication de supports magnétiques et optiques
1520ZA,Fabrication de sabots
2711ZB,Fabrication de transformateurs électriques
1520ZB,Fabrication de chaussures et de bottes
2720ZZ,Fabrication de piles et d'accumulateurs électriques
2920ZA,Fabrication de carrosseries
1520ZC,Fabrication de chaussures et de bottes sur mesure
2740ZA,Fabrication de lampes
1610AR,"Fabrication de parquets, moulures et baguettes"
2740ZB,Fabrication de luminaires
1610BZ,Imprégnation du bois
2740ZC,Fabrication d'abat-jour
1621ZZ,Fabrication de placage et de panneaux de bois
2751ZZ,Fabrication d'appareils électroménagers
1623ZZ,Fabrication de charpentes et d'autres menuiseries
2752ZZ,Fabrication d'appareils ménagers non électriques
1624ZA,Fabrication de caisses et de palettes en bois
2790ZZ,Fabrication d'autres matériels électriques
1629ZA,Fabrication d'objets divers en bois
2813ZA,Fabrication de pompes
1629ZC,Fabrication d'objets en liège
2822ZA,"Fabrication d'ascenseurs, monte-charges et escaliers mécaniques"
3109BC,Fabrication de meubles en rotin
2823ZZ,Fabrication de machines de bureau (à l'exception des ordinateurs et équipements périphériques)
1721AZ,Fabrication de carton ondulé
2829AA,Fabrication d'équipements d'emballage et de conditionnement
1721BZ,Fabrication de cartonnages
2891ZZ,Fabrication de machines pour la métallurgie
1812ZA,Imprimerie de labeur
2016ZZ,Fabrication de matières plastiques de base
2894ZZ,Fabrication de machines pour les industries textiles
1814ZZ,Reliure et activités connexes
2896ZZ,Fabrication de machines pour le travail du caoutchouc ou des plastiques
2011ZZ,Fabrication de gaz industriels
2910ZA,Construction de voiturettes
2014ZB,Fabrication de produits de la distillation du bois
2910ZB,Construction d'autres véhicules automobiles
3299ZE,Taxidermie
2030ZZ,"Fabrication de peintures, vernis, encres et mastics"
2920ZB,Aménagement de véhicules
2051ZZ,Fabrication de produits explosifs
2920ZC,Fabrication de remorques et de semi-remorques
2110ZP,Fabrication d'édulcorants de synthèse
2931ZZ,Fabrication de matériels électriques et électroniques automobiles
2211ZZ,Fabrication et rechapage de pneumatiques
3020ZZ,Construction de locomotives et d'autre matériel ferroviaire roulant
2352ZZ,Fabrication de chaux et plâtre.
2223ZZ,Fabrication d'éléments en matières plastiques pour la construction
3030ZB,Construction de cellules d'aéronefs
2229AZ,Fabrication de pièces techniques à base de matières plastiques
3091ZA,Construction de motocycles
2312ZZ,Façonnage et transformation du verre plat
3092ZB,Fabrication d'équipements pour bicyclettes
2313ZB,Soufflage de verre
3099ZZ,Fabrication d'autres équipements de transport n.c.a.
2313ZC,Façonnage de verre et de cristal
2319ZB,Fabrication d'articles techniques en verre
3212ZZ,Fabrication d'articles de joaillerie et de bijouterie
2320ZZ,Fabrication de produits réfractaires
3250AB,Fabrication de prothèses et orthèses podales
2341ZZ,Fabrication d'articles céramiques à usage domestique ou ornemental
3299ZC,"Fabrication d'articles de Paris, d'arts ou religieux"
2342ZZ,Fabrication d'appareils sanitaires en céramique
3299ZG,Fabrication de produits manufacturés non classés ailleurs
2369ZA,Fabrication de cheminée décoratives
3314ZZ,Réparation d'équipements électriques
2410ZZ,Sidérurgie
3316ZZ,Réparation et maintenance d'aéronefs et d'engins spatiaux
2432ZZ,Laminage à froid de feuillards
2451ZZ,Fonderie de fonte
3030ZC,Construction de lanceurs et engins spatiaux
3320BZ,Installation de machines et équipements mécaniques
2433ZZ,Profilage à froid par formage ou pliage
4120AZ,Construction de maisons individuelles
2442ZB,Première transformation de l'aluminium
4120BA,Construction de bâtiments
2444ZZ,Métallurgie du cuivre
4120BB,Réhabilitation de bâtiments
2446ZZ,Elaboration et transformation de matières nucléaires
4211ZA,Pose de signalisation routière verticale
4212ZZ,Construction de voies ferrées de surface et souterraines
2452ZZ,Fonderie d'acier
4213AZ,Construction d'ouvrages d'art
2512ZZ,Fabrication de portes et fenêtres en métal
4213BZ,Construction et entretien de tunnels
2550BZ,"Découpage, emboutissage"
4222ZA,Construction de centrales électriques
2561ZA,Sérigraphie de type marquage
4222ZB,Construction de lignes électriques et de télécommunication
2562BZ,Mécanique industrielle
4291ZZ,Construction d'ouvrages maritimes et fluviaux
2571ZZ,Fabrication de coutellerie
4312BA,Terrassements
2573BB,Fabrication d'outillage mécanique
4312BB,Artificiers
2591ZZ,Fabrication de fûts et emballages métalliques similaires
4321AB,Installation électrique
2592ZZ,Fabrication d'emballages métalliques légers
4329BA,Installation d'ascenseurs
2594ZZ,Fabrication de vis et de boulons
4722ZC,Boucherie chevaline
4331ZB,Travaux de plâtrerie d'intérieur
2620ZZ,Fabrication d'ordinateurs et d'autres équipements informatiques
4332AA,Menuiserie bois
2670ZB,Fabrication d'instruments d'optique
4332AB,Menuiserie PVC
2711ZA,Fabrication de moteurs électriques
4332BA,Installation de serres et de vérandas
2899AZ,Fabrication de machines d'imprimerie
2712ZZ,Fabrication de matériel de distribution et de commande électrique
4333ZZ,Travaux de revêtement des sols et des murs
2733ZZ,Fabrication de matériel d'installation électrique
4339ZZ,Autres travaux de finition
2814ZZ,Fabrication d'autres articles de robinetterie
4399BZ,Travaux de montage de structures métalliques
2821ZB,Fabrication de chauffages solaires
4399CZ,Travaux de maçonnerie générale et gros œuvre de bâtiment
2822ZB,Fabrication d'équipements de levage et de manutention
4399DA,Installation de piscines de résidence et construction de piscines non couvertes
2825ZA,Fabrication de capteur solaire à effet de serre
4399DC,Autres travaux spéciaux de construction
2825ZC,Fabrication d'équipements aérauliques
4399EZ,Location avec opérateur de matériel de construction
4722ZD,"Volailles, gibiers"
2829BZ,Fabrication d'autres machines d'usage général
4520AA,Réparation automobile de véhicules automobiles légers: entretien courant
2830ZZ,Fabrication de machines agricoles et forestières
4520BA,Réparation automobile d'autres véhicules automobiles: entretien courant
4789ZP,Commerce de détail de fleurs sur éventaires et marchés
2841ZZ,Fabrication de machines-outils pour le travail des métaux
4520BC,Réparation automobile d'autres véhicules automobiles: diesel
2849ZZ,Fabrication d'autres machines-outils
4520BD,Réparation automobile d'autres véhicules automobiles: carrosserie
2892ZA,Fabrication de matériels de mines pour l'extraction
4722ZA,Boucherie
2892ZB,Fabrication de matériels de travaux publics
2899BZ,Fabrication d'autres machines spécialisées
4776ZP,Commerce de détail de fleurs
2932ZZ,Fabrication d'autres équipements automobiles
4781ZT,"Volailles, gibiers sur éventaires et marchés"
3012ZZ,Construction de bateaux de plaisance
4781ZU,Triperie sur éventaires et marchés
3030ZA,Construction de moteurs pour aéronefs
4932ZA,Taxis
3040ZZ,Construction de véhicules militaires de combat
5610AP,Fabrication culinaire artisanale de plats à consommer sur place
3092ZA,Construction de bicyclettes
5819ZP,"Autres activités d'édition Edition d'imprimés fiduciaires, imprimés commerciaux, formulaires imprimés"
3092ZC,Fabrication de véhicules pour invalides et enfants
7311ZP,"Pose d'affiches, publicité aérienne, distribution de prospectus et d'échantillons publicitaires"
3102ZZ,Fabrication de meubles de cuisine
7420ZQ,Studio de photographie
3103ZZ,Fabrication de matelas
1042ZZ,Fabrication de margarine et graisses comestibles similaires
7420ZR,"Portrait, reportage"
3109AZ,Fabrication de sièges d'ameublement d'intérieur
1051BZ,Fabrication de beurre
8121ZZ,Nettoyage courant des bâtiments
3109BA,Fabrication et finissage de meubles divers
1051DZ,Fabrication d'autres produits laitiers
8122ZZ,Autres activités de nettoyage des bâtiments et nettoyage industriel
3211ZZ,Frappe de monnaies
1061AZ,Meunerie
8129BP,Autres services de nettoyage
3213ZZ,Fabrication d'articles de bijouterie fantaisie et articles similaires
1071AB,Fabrication industrielle de pâtisserie fraîche
8690AZ,Ambulances
3220ZA,Lutherie
1071CA,Boulangerie
9001ZP,Spectacles de marionnettes
3220ZB,Facteur d'orgues
1084ZZ,Fabrication de condiments et assaisonnements
9601BQ,"Laveries, blanchisserie et teintureries de détail"
9511ZZ,Réparation d'ordinateurs et d'équipements périphériques
3230ZZ,Fabrication d'articles de sport
1103ZZ,Fabrication de cidre et de vins de fruits
9522ZB,Réparation d'appareils électroménagers
3250AA,Fabrication de prothèses dentaires
1104ZZ,Production d'autres boissons fermentées non distillées
9525ZZ,Réparation d'articles d'horlogerie et de bijouterie
4312AZ,Travaux de terrassement courants et travaux préparatoires
3250AD,Fabrication d'équipements médico-chirurgicaux
1106ZZ,Fabrication de malt
9529ZA,Aiguisage de coutellerie
3250BP,Fabrication de lunettes de protection
1330ZZ,Ennoblissement textile
9529ZE,Accordeurs de piano et restauration d'autres instruments de musique
3312ZA,Réparation de matériel agricole
1392ZA,Fabrication de linge de maison et d'articles d'ameublement
3313ZZ,Réparation de matériels électroniques et optiques
1392ZB,Fabrication de tapisserie à la main
9602AA,Coiffure en salon
3315ZZ,Réparation et maintenance navale
1392ZF,"Fabrication de bâches, lambrequins et autres articles en textile"
3317ZZ,Réparation et maintenance d'autres matériels de transport
1393ZZ,Fabrication de tapis et moquettes
1721CZ,Fabrication d'emballages en papier
4321BZ,Travaux d'installation électrique sur la voie publique
3320AZ,"Installation de structures métalliques, chaudronnées et de tuyauterie"
1399ZA,Fabrication de feutres
3700ZP,Entretien de fosses septiques
1413ZB,Fabrication de vêtements féminins sur mesure
3821ZP,Incinération des déchets non dangereux et production de cendres et scories associée
1419ZF,Fabrication d'accessoires en cuir
3831ZB,Démantèlement d'épaves en vue de la récupération de matières non métalliques
1420ZZ,Fabrication d'articles en fourrure
1722ZZ,Fabrication d'articles en papier à usage sanitaire ou domestique
3832ZB,Traitement de matières non métalliques recyclables
1439ZA,Fabrication de lainages à la main
3900ZP,Désamiantage
1512ZA,Fabrication d'articles de maroquinerie
4211ZB,Aménagement de chaussées
1512ZC,Sellerie
4299ZP,Construction d'installations sportives ou récréatives de plain air
1622ZZ,Fabrication de parquets assemblés
4311ZZ,Travaux de démolition
1629ZB,"Vannerie, sparterie, travail de la paille"
4322AZ,Travaux d'installation d'eau et de gaz en tous locaux
1729ZZ,Fabrication d'autres articles en papier ou en carton
4322BC,Entretien de chaudières domestiques
1812ZB,Sérigraphie de type imprimerie
4329AZ,Travaux d'isolation
1813ZA,Travaux de préparation d'impression
4332BB,"Métallerie, serrurerie"
1813ZB,Graphisme-décoration
4334ZB,Travaux de peinture extérieure
1813ZC,Activités graphiques n.c.a.
4334ZC,Travaux de peinture intérieure et peinture plâtrerie
1820ZZ,Reproduction d'enregistrements
4391BZ,Travaux de couverture par éléments
2013BZ,Fabrication d'autres produits chimiques inorganiques de base n.c.a.
4399DB,Construction de cheminées et de fours industriels
2020ZZ,Fabrication de pesticides et d'autres produits agrochimiques
4520AD,"Réparation automobile de véhicules automobiles légers: électricité, électronique"
2053ZZ,Fabrication d'huiles essentielles
4520BE,"Réparation automobile d'autres véhicules automobiles: électricité, électronique"
2060ZZ,Fabrication de fibres artificielles ou synthétiques
4722ZB,Boucherie charcuterie
2219ZZ,Fabrication d'autres articles en caoutchouc
4722ZE,Triperie
2221ZZ,"Fabrication de plaques, feuilles, tubes et profilés en matières plastiques"
9601BR,Pressings
4723ZP,"Préparation de poissons, crustacés et mollusques"
2222ZZ,Fabrication d'emballages en matières plastiques
4781ZQ,Boucherie sur éventaires et marchés
2229BZ,Fabrication d'éléments divers en matières plastiques
4781ZR,Boucherie charcuterie sur éventaires et marchés
2311ZZ,Fabrication de verre plat
4781ZS,Boucherie chevaline sur éventaires et marchés
2314ZZ,Fabrication de fibres de verre
2420ZZ,"Fabrication de tubes, tuyaux, profilés creux et accessoires correspondants en acier"
4781ZV,"Préparation de poissons, crustacés, mollusques sur éventaires, marchés"
2331ZZ,Fabrication de carreaux en céramique
7420ZS,Photographie industrielle et publicitaire
2332ZA,Fabrication de briques
8211ZP,Services administratifs divers
2332ZB,Fabrication de tuiles
8219ZP,Travaux à façon divers:
2343ZZ,Fabrication d'isolateurs et pièces isolantes en céramique
8292ZZ,Activités de conditionnement
2351ZZ,Fabrication de ciment céramiques
9602AB,Coiffure hors salons
9003AP,Restauration d'objets d'art
2361ZZ,Fabrication d'éléments en béton pour la construction
9521ZZ,Réparation de produits électroniques grand public
2363ZZ,Fabrication de béton prêt à l'emploi
9523ZZ,Réparation de chaussures et d'articles en cuir
2364ZZ,Fabrication de mortiers et bétons secs
9524ZZ,Réparation de meubles et d'équipements du foyer
2369ZB,Fabrication d'éléments décoratifs en béton ou en plâtre
9529ZF,Réparation non classées ailleurs
2370ZZ,"Taille, façonnage et finissage de pierres"
9602BB,Soins de beauté hors salon
2454ZZ,Fonderie d'autres métaux non ferreux
2511ZZ,Fabrication de structures métalliques et de parties de structures
2529ZZ,"Fabrication d'autres réservoirs, citernes et conteneurs métalliques"
2530ZA,Fabrication de générateurs de vapeur
2572ZZ,Fabrication de serrures et de ferrures
2573BA,Fabrication d'outillage à main
2593ZB,Fabrication de ressorts
2599BB,Fabrication de coffres-forts
2825ZB,Fabrication d'équipements de réfrigération industrielle
2599BC,Fabrication d'autres articles métalliques n.c.a.
2611ZA,Fabrication de composants électroniques (hors capteurs solaires)
2611ZB,Fabrication de capteurs solaires photovoltaïques
2612ZZ,Fabrication de cartes électroniques assemblées
2640ZZ,Fabrication de produits électroniques grand public
2829AB,Fabrication d'appareils de pesage
2651BZ,Fabrication d'instrumentation scientifique et technique
2652ZZ,Horlogerie
2711ZC,Fabrication de groupes électrogènes
2731ZZ,Fabrication de câbles de fibres optiques
2732ZZ,Fabrication d'autres fils et câbles électroniques ou électrique
2740ZD,Fabrication d'autres appareils d'éclairage
3109BB,Fabrication de meubles de jardin et d'extérieur
2811ZA,"Fabrication de moteurs et turbines, à l'exception des moteurs d'avion et de véhicules"
2811ZB,Fabrication de turbines éoliennes
2812ZZ,Fabrication d'équipements hydrauliques et pneumatiques
2813ZB,Fabrication de compresseurs
2815ZZ,Fabrication d'engrenages et d'organes mécaniques de transmission
2821ZA,Fabrication de fours et brûleurs non solaires
2824ZZ,Fabrication d'outillage portatif à moteur incorporé
2893ZZ,Fabrication de machines pour l'industrie agro-alimentaire
2895ZZ,Fabrication de machines pour les industries du papier et du carton
3011ZA,Construction de navires
3011ZB,Transformation et équipement des navires
3091ZB,Fabrication d'équipements pour motocycles
3101ZZ,Fabrication de meubles de bureau et de magasin
3822ZP,Traitement et élimination de déchets nucléaires radioactifs
3220ZC,Fabrication d'autres instruments de musique
3240ZZ,Fabrication de jeux et jouets
3250AC,Fabrication de prothèses et orthèses diverses
3291ZZ,Fabrication d'articles de brosserie
3299ZA,Fabrication de bougies
3299ZB,Fabrication d'accessoires du vêtements
3299ZD,Fabrication d'articles de fumeurs
3299ZF,Fabrication d'équipements de protection et de sécurité
7420ZT,Laboratoires techniques de développement et de tirage
3311ZZ,Réparation d'ouvrages en métaux
3312ZB,Réparation d'autres machines
3319ZZ,Réparation d'autres équipements
3320CZ,Conception d'ensemble et assemblage sur site industriel d'équipements de contrôle des processus industriels
3320DZ,"Installation d'équipements électriques, de matériels électroniques et optiques ou d'autres matériels"
3812ZP,Collecte des déchets nucléaires
3831ZA,Démantèlement d'épaves en vue de la récupération de matières métalliques
3832ZA,Traitement de matières métalliques recyclables
4221ZA,Construction d'installations de réseaux pour fluides
4221ZB,Forage des puits d'eau
4313ZZ,Forages et sondages
4321AA,Installation d'antennes
4322BA,Installation et entretien de climatisation et chaufferie
4520AB,Réparation automobile de véhicules automobiles légers: mécanique
4322BB,Installation de chauffage individuel
4329BB,Montage de clôtures et de grilles
4329BC,Installation de stores et bannes
4329BD,Autres travaux d'installation divers
4331ZA,Travaux de plâtrerie d'extérieur
4332CZ,Agencement de lieux de vente
4334ZA,"Travaux de miroiterie de bâtiment, vitrerie"
4334ZD,Travaux de peinture en lettres sur bâtiments
4391AZ,Travaux de charpente
4399AZ,Travaux d'étanchéification
7120AZ,Contrôle technique automobile
4520AC,Réparation automobile de véhicules automobiles légers: carrosserie
4520BB,Réparation automobile d'autres véhicules automobiles: mécanique
4540ZP,Réparation de motocycles
4729ZP,Crémerie-fromagerie et préparations à base de lait ou de fromage
4781ZW,"Crémerie-fromagerie et préparations à base de lait ou de fromage sur éventaire, marchés"
4932ZB,Location de voitures avec chauffeur
4942ZZ,Services de déménagement
5040ZZ,Transports fluviaux de fret
5221ZP,Assistance et remorquage de véhicules automobiles
5610CQ,Fabrication artisanale associée à la vente de plats pour consommation immédiate en magasins sédentaires ou sur éventaire
5610CR,Fabrication artisanale associée à la vente de plats pour consommation immédiate en véhicules motorisés ou non
8020ZP,Activité de surveillance et installation de systèmes d'alarme non dissociées
8129AZ,"Désinfection, désinsectisation, dératisation"
9512ZZ,Réparation d'équipements de communication
9522ZA,Réparation de tondeuses à gazon
9529ZB,Réparation de cycles
9529ZC,Atelier de retouches
9529ZD,Réparation d'articles de sport et de campement
9601AZ,Blanchisserie-teinturerie de gros
9602BA,Soins de beauté en salon
9603ZP,"Embaumement, soins mortuaires"
9609ZP,Toilettage d'animaux de compagnie
